configuration_id,initial_atomic_number,final_atomic_number,delta_atomic_number,abs_delta_atomic_number,initial_atomic_mass,final_atomic_mass,delta_atomic_mass,abs_delta_atomic_mass,initial_electronegativity,final_electronegativity,delta_electronegativity,abs_delta_electronegativity,initial_atomic_radius_A,final_atomic_radius_A,delta_atomic_radius_A,abs_delta_atomic_radius_A,initial_calculated_atomic_radius_A,final_calculated_atomic_radius_A,delta_calculated_atomic_radius_A,abs_delta_calculated_atomic_radius_A,initial_row,final_row,delta_row,abs_delta_row,initial_group,final_group,delta_group,abs_delta_group,initial_first_ionization_energy_eV,final_first_ionization_energy_eV,delta_first_ionization_energy_eV,abs_delta_first_ionization_energy_eV,initial_electron_affinity_eV,final_electron_affinity_eV,delta_electron_affinity_eV,abs_delta_electron_affinity_eV,initial_valence_electrons,final_valence_electrons,delta_valence_electrons,abs_delta_valence_electrons,normalized_delta_atomic_number,normalized_abs_delta_atomic_number,normalized_delta_atomic_mass,normalized_abs_delta_atomic_mass,normalized_delta_electronegativity,normalized_abs_delta_electronegativity,normalized_delta_atomic_radius_A,normalized_abs_delta_atomic_radius_A,normalized_delta_calculated_atomic_radius_A,normalized_abs_delta_calculated_atomic_radius_A,normalized_delta_row,normalized_abs_delta_row,normalized_delta_group,normalized_abs_delta_group,normalized_delta_first_ionization_energy_eV,normalized_abs_delta_first_ionization_energy_eV,normalized_delta_electron_affinity_eV,normalized_abs_delta_electron_affinity_eV,normalized_delta_valence_electrons,normalized_abs_delta_valence_electrons,chemical_operation_none,chemical_operation_removal,chemical_operation_replacement,chemical_operation_insertion,size_mismatch_A,calculated_size_mismatch_A,electronegativity_mismatch,atomic_number_mismatch,atomic_mass_mismatch,group_mismatch,period_mismatch,valence_mismatch,ionization_energy_mismatch_eV,electron_affinity_mismatch_eV,combined_chemical_perturbation
Pristine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V_Ga,31.0,0.0,-31.0,31.0,69.723,0.0,-69.723,69.723,1.81,0.0,-1.81,1.81,1.3,0.0,-1.3,1.3,1.36,0.0,-1.36,1.36,4.0,0.0,-4.0,4.0,13.0,0.0,-13.0,13.0,5.999302,0.0,-5.999302,5.999302,0.30116615,0.0,-0.30116615,0.30116615,3.0,0.0,-3.0,3.0,-0.9999999996774194,0.9999999996774194,-0.9999999998565754,0.9999999998565754,-0.9999999944751382,0.9999999944751382,-0.9999999923076924,0.9999999923076924,-0.999999992647059,0.999999992647059,-0.9999999975,0.9999999975,-0.9999999992307692,0.9999999992307692,-0.9999999983331395,0.9999999983331395,-0.9999999667957383,0.9999999667957383,-0.9999999966666667,0.9999999966666667,0,1,0,0,1.3,1.36,1.81,31.0,69.723,13.0,4.0,3.0,5.999302,0.30116615,0.9999999937490196
V_N,7.0,0.0,-7.0,7.0,14.0067,0.0,-14.0067,14.0067,3.04,0.0,-3.04,3.04,0.65,0.0,-0.65,0.65,0.56,0.0,-0.56,0.56,2.0,0.0,-2.0,2.0,15.0,0.0,-15.0,15.0,14.53413,0.0,-14.53413,14.53413,-0.07,0.0,0.07,0.07,5.0,0.0,-5.0,5.0,-0.9999999985714286,0.9999999985714286,-0.9999999992860559,0.9999999992860559,-0.9999999967105263,0.9999999967105263,-0.9999999846153848,0.9999999846153848,-0.9999999821428573,0.9999999821428573,-0.999999995,0.999999995,-0.9999999993333333,0.9999999993333333,-0.9999999993119643,0.9999999993119643,0.9999998571428776,0.9999998571428776,-0.9999999980000001,0.9999999980000001,0,1,0,0,0.65,0.56,3.04,7.0,14.0067,15.0,2.0,5.0,14.53413,0.07,0.9999999810114428
Ga_N,7.0,31.0,24.0,24.0,14.0067,69.723,55.7163,55.7163,3.04,1.81,-1.23,1.23,0.65,1.3,0.65,0.65,0.56,1.36,0.8,0.8,2.0,4.0,2.0,2.0,15.0,13.0,-2.0,2.0,14.53413,5.999302,-8.534828,8.534828,-0.07,0.30116615,0.37116615000000003,0.37116615000000003,5.0,3.0,-2.0,2.0,0.6315789472022161,0.6315789472022161,0.6654305460708172,0.6654305460708172,-0.25360824689977685,0.25360824689977685,0.33333333162393164,0.33333333162393164,0.4166666644965278,0.4166666644965278,0.33333333277777777,0.33333333277777777,-0.07142857140306122,0.07142857140306122,-0.4156552102855211,0.4156552102855211,0.9999999730578887,0.9999999730578887,-0.24999999968749997,0.24999999968749997,0,0,1,0,0.65,0.8,1.23,24.0,55.7163,2.0,2.0,2.0,8.534828,0.37116615000000003,0.4371034823505018
N_Ga,31.0,7.0,-24.0,24.0,69.723,14.0067,-55.7163,55.7163,1.81,3.04,1.23,1.23,1.3,0.65,-0.65,0.65,1.36,0.56,-0.8,0.8,4.0,2.0,-2.0,2.0,13.0,15.0,2.0,2.0,5.999302,14.53413,8.534828,8.534828,0.30116615,-0.07,-0.37116615000000003,0.37116615000000003,3.0,5.0,2.0,2.0,-0.6315789472022161,0.6315789472022161,-0.6654305460708172,0.6654305460708172,0.25360824689977685,0.25360824689977685,-0.33333333162393164,0.33333333162393164,-0.4166666644965278,0.4166666644965278,-0.33333333277777777,0.33333333277777777,0.07142857140306122,0.07142857140306122,0.4156552102855211,0.4156552102855211,-0.9999999730578887,0.9999999730578887,0.24999999968749997,0.24999999968749997,0,0,1,0,0.65,0.8,1.23,24.0,55.7163,2.0,2.0,2.0,8.534828,0.37116615000000003,0.4371034823505018
Mg_Ga,31.0,12.0,-19.0,19.0,69.723,24.305,-45.418,45.418,1.81,1.31,-0.5,0.5,1.3,1.5,0.19999999999999996,0.19999999999999996,1.36,1.45,0.08999999999999986,0.08999999999999986,4.0,3.0,-1.0,1.0,13.0,2.0,-11.0,11.0,5.999302,7.646236,1.646934,1.646934,0.30116615,-0.42,-0.72116615,0.72116615,3.0,2.0,-1.0,1.0,-0.44186046501352083,0.44186046501352083,-0.4830263325304137,0.4830263325304137,-0.16025640974276792,0.16025640974276792,0.07142857117346937,0.07142857117346937,0.03202846963690931,0.03202846963690931,-0.14285714265306124,0.14285714265306124,-0.7333333328444444,0.7333333328444444,0.12069395862538071,0.12069395862538071,-0.99999998613357,0.99999998613357,-0.1999999996,0.1999999996,0,0,1,0,0.19999999999999996,0.08999999999999986,0.5,19.0,45.418,11.0,1.0,1.0,1.646934,0.72116615,0.3385484667953538
Si_Ga,31.0,14.0,-17.0,17.0,69.723,28.0855,-41.6375,41.6375,1.81,1.9,0.08999999999999986,0.08999999999999986,1.3,1.1,-0.19999999999999996,0.19999999999999996,1.36,1.11,-0.25,0.25,4.0,3.0,-1.0,1.0,13.0,14.0,1.0,1.0,5.999302,8.15168,2.1523780000000006,2.1523780000000006,0.30116615,1.38952128,1.08835513,1.08835513,3.0,4.0,1.0,1.0,-0.37777777769382714,0.37777777769382714,-0.4257043099090873,0.4257043099090873,0.02425876004242918,0.02425876004242918,-0.08333333298611108,0.08333333298611108,-0.10121457448900982,0.10121457448900982,-0.14285714265306124,0.14285714265306124,0.03703703702331961,0.03703703702331961,0.15210096362775324,0.15210096362775324,0.6437352666439635,0.6437352666439635,0.14285714265306124,0.14285714265306124,0,0,1,0,0.19999999999999996,0.25,0.08999999999999986,17.0,41.6375,1.0,1.0,1.0,2.1523780000000006,1.08835513,0.21308763077216236
O_N,7.0,8.0,1.0,1.0,14.0067,15.9994,1.9926999999999992,1.9926999999999992,3.04,3.44,0.3999999999999999,0.3999999999999999,0.65,0.6,-0.050000000000000044,0.050000000000000044,0.56,0.48,-0.08000000000000007,0.08000000000000007,2.0,2.0,0.0,0.0,15.0,16.0,1.0,1.0,14.53413,13.618055,-0.9160749999999993,0.9160749999999993,-0.07,1.461112979,1.531112979,1.531112979,5.0,6.0,1.0,1.0,0.06666666662222222,0.06666666662222222,0.06640982997910094,0.06640982997910094,0.06172839496646851,0.06172839496646851,-0.03999999968000004,0.03999999968000004,-0.07692307618343203,0.07692307618343203,0.0,0.0,0.0322580645057232,0.0322580645057232,-0.0325401030035359,0.0325401030035359,0.9999999934688034,0.9999999934688034,0.09090909082644627,0.09090909082644627,0,0,1,0,0.050000000000000044,0.08000000000000007,0.3999999999999999,1.0,1.9926999999999992,1.0,0.0,1.0,0.9160749999999993,1.531112979,0.14674352192357326
C_N,7.0,6.0,-1.0,1.0,14.0067,12.0107,-1.9960000000000004,1.9960000000000004,3.04,2.55,-0.4900000000000002,0.4900000000000002,0.65,0.7,0.04999999999999993,0.04999999999999993,0.56,0.67,0.10999999999999999,0.10999999999999999,2.0,2.0,0.0,0.0,15.0,14.0,-1.0,1.0,14.53413,11.260288,-3.273842,3.273842,-0.07,1.262122611,1.332122611,1.332122611,5.0,4.0,-1.0,1.0,-0.07692307686390532,0.07692307686390532,-0.07671788876800992,0.07671788876800992,-0.08765652936018514,0.08765652936018514,0.03703703676268857,0.03703703676268857,0.08943089358186265,0.08943089358186265,0.0,0.0,-0.03448275860879905,0.03448275860879905,-0.1269205608256327,0.1269205608256327,0.9999999924931836,0.9999999924931836,-0.1111111109876543,0.1111111109876543,0,0,1,0,0.04999999999999993,0.10999999999999999,0.4900000000000002,1.0,1.9960000000000004,1.0,0.0,1.0,3.273842,1.332122611,0.16402798482519212
Ga_i_Geo_I_1,0.0,31.0,31.0,31.0,0.0,69.723,69.723,69.723,0.0,1.81,1.81,1.81,0.0,1.3,1.3,1.3,0.0,1.36,1.36,1.36,0.0,4.0,4.0,4.0,0.0,13.0,13.0,13.0,0.0,5.999302,5.999302,5.999302,0.0,0.30116615,0.30116615,0.30116615,0.0,3.0,3.0,3.0,0.9999999996774194,0.9999999996774194,0.9999999998565754,0.9999999998565754,0.9999999944751382,0.9999999944751382,0.9999999923076924,0.9999999923076924,0.999999992647059,0.999999992647059,0.9999999975,0.9999999975,0.9999999992307692,0.9999999992307692,0.9999999983331395,0.9999999983331395,0.9999999667957383,0.9999999667957383,0.9999999966666667,0.9999999966666667,0,0,0,1,1.3,1.36,1.81,31.0,69.723,13.0,4.0,3.0,5.999302,0.30116615,0.9999999937490196
