configuration_id,is_pristine,is_vacancy,is_antisite,is_substitutional,is_interstitial,chemical_operation_replacement,total_atoms_composition,fraction_Ga,fraction_N,fraction_Mg,fraction_Si,fraction_O,fraction_C,std_atomic_number,mean_electronegativity,std_electronegativity,std_atomic_radius_A,density_g_cm3,space_group_number,nearest_neighbor_distance_A,mean_4_nearest_distance_A,Ga_among_4_nearest,delta_electronegativity,delta_atomic_radius_A,delta_electron_affinity_eV,normalized_delta_atomic_number,normalized_delta_electron_affinity_eV,combined_chemical_perturbation
Pristine,1,0,0,0,0,0,72.0,0.5,0.5,0.0,0.0,0.0,0.0,12.0,2.425,0.615,0.325,6.0809768286163255,186,1.94903792603084,1.9509423025064752,2,0.0,0.0,0.0,0.0,0.0,0.0
V_Ga,0,1,0,0,0,0,71.0,0.49295774647887325,0.5070422535211268,0.0,0.0,0.0,0.0,11.998809700934432,2.433661971830986,0.6149389971728897,0.32496776273364086,5.940317876382857,156,1.94903792603084,1.9509423025064754,0,-1.81,-1.3,-0.30116615,-0.9999999996774194,-0.9999999667957383,0.9999999937490196
V_N,0,1,0,0,0,0,71.0,0.5070422535211268,0.49295774647887325,0.0,0.0,0.0,0.0,11.998809700934432,2.4163380281690143,0.6149389971728897,0.32496776273364086,6.052719757832675,156,1.94903792603084,1.950942302506475,4,-3.04,-0.65,0.07,-0.9999999985714286,0.9999998571428776,0.9999999810114428
Ga_N,0,0,1,0,0,1,72.0,0.5138888888888888,0.4861111111111111,0.0,0.0,0.0,0.0,11.995369476964388,2.407916666666667,0.6147626856944248,0.32487459000111885,6.193378710066144,156,1.94903792603084,1.950942302506475,4,-1.23,0.65,0.37116615000000003,0.6315789472022161,0.9999999730578887,0.4371034823505018
N_Ga,0,0,1,0,0,1,72.0,0.4861111111111111,0.5138888888888888,0.0,0.0,0.0,0.0,11.995369476964388,2.442083333333333,0.6147626856944248,0.32487459000111885,5.968574947166508,156,1.94903792603084,1.9509423025064754,0,1.23,-0.65,-0.37116615000000003,-0.6315789472022161,-0.9999999730578887,0.4371034823505018
Mg_Ga,0,0,0,1,0,1,72.0,0.4861111111111111,0.5,0.013888888888888888,0.0,0.0,0.0,11.94198133518373,2.4180555555555556,0.6246524342226218,0.3286006619922249,5.9893507039151554,156,1.94903792603084,1.9509423025064754,0,-0.5,0.19999999999999996,-0.72116615,-0.44186046501352083,-0.99999998613357,0.3385484667953538
Si_Ga,0,0,0,1,0,1,72.0,0.4861111111111111,0.5,0.0,0.013888888888888888,0.0,0.0,11.928598985858821,2.42625,0.6138390974025685,0.323059257645741,5.9969774722544225,156,1.94903792603084,1.9509423025064754,0,0.08999999999999986,-0.19999999999999996,1.08835513,-0.37777777769382714,0.6437352666439635,0.21308763077216236
O_N,0,0,0,1,0,1,72.0,0.5,0.4861111111111111,0.0,0.0,0.013888888888888888,0.0,11.986674378422105,2.430555555555556,0.6222938946816244,0.3257462645342609,6.084996895080988,156,1.94903792603084,1.950942302506475,4,0.3999999999999999,-0.050000000000000044,1.531112979,0.06666666662222222,0.9999999934688034,0.14674352192357326
C_N,0,0,0,1,0,1,72.0,0.5,0.4861111111111111,0.0,0.0,0.0,0.013888888888888888,12.014450853908706,2.418194444444445,0.6108539705219809,0.32435759753742,6.076950104742453,156,1.94903792603084,1.950942302506475,4,-0.4900000000000002,0.04999999999999993,1.332122611,-0.07692307686390532,0.9999999924931836,0.16402798482519212
Ga_i_Geo_I_1,0,0,0,0,1,0,73.0,0.5068493150684932,0.4931506849315068,0.0,0.0,0.0,0.0,11.998874032369091,2.4165753424657535,0.6149422941589159,0.32496950504332955,6.221635780849794,156,2.0552588058813295,2.0704821643766573,1,1.81,1.3,0.30116615,0.9999999996774194,0.9999999667957383,0.9999999937490196
N_i_Geo_I_1,0,0,0,0,1,0,73.0,0.4931506849315068,0.5068493150684932,0.0,0.0,0.0,0.0,11.998874032369091,2.4334246575342466,0.6149422941589159,0.32496950504332955,6.109233899399976,156,2.0552588058813295,2.0704821643766573,1,3.04,0.65,-0.07,0.9999999985714286,-0.9999998571428776,0.9999999810114428
Ga_i_Geo_I_2,0,0,0,0,1,0,73.0,0.5068493150684932,0.4931506849315068,0.0,0.0,0.0,0.0,11.998874032369091,2.4165753424657535,0.6149422941589159,0.32496950504332955,6.221635780849794,8,1.947280896184572,1.9793609618215766,2,1.81,1.3,0.30116615,0.9999999996774194,0.9999999667957383,0.9999999937490196
N_i_Geo_I_2,0,0,0,0,1,0,73.0,0.4931506849315068,0.5068493150684932,0.0,0.0,0.0,0.0,11.998874032369091,2.4334246575342466,0.6149422941589159,0.32496950504332955,6.109233899399976,8,1.947280896184572,1.9793609618215766,2,3.04,0.65,-0.07,0.9999999985714286,-0.9999998571428776,0.9999999810114428
Ga_i_Geo_I_3,0,0,0,0,1,0,73.0,0.5068493150684932,0.4931506849315068,0.0,0.0,0.0,0.0,11.998874032369091,2.4165753424657535,0.6149422941589159,0.32496950504332955,6.221635780849794,1,1.9341818072247376,2.0291310400113733,2,1.81,1.3,0.30116615,0.9999999996774194,0.9999999667957383,0.9999999937490196
N_i_Geo_I_3,0,0,0,0,1,0,73.0,0.4931506849315068,0.5068493150684932,0.0,0.0,0.0,0.0,11.998874032369091,2.4334246575342466,0.6149422941589159,0.32496950504332955,6.109233899399976,1,1.9341818072247376,2.0291310400113733,2,3.04,0.65,-0.07,0.9999999985714286,-0.9999998571428776,0.9999999810114428
