configuration_id,host_material_id,host_phase,calculation_id,data_source,source_reference,calculation_method,exchange_correlation_functional,charge_state,chemical_potential_condition,fermi_level_eV,temperature_K,formation_energy_eV,relaxed_band_gap_eV,band_gap_change_eV,transition_level_eV,carrier_type,donor_acceptor_class,carrier_concentration_cm3,is_relaxed,relaxation_energy_eV,maximum_displacement_A,volume_change_percent,label_quality,convergence_status,notes
Pristine,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
V_Ga,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
V_N,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Ga_N,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
N_Ga,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Mg_Ga,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Si_Ga,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
O_N,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
C_N,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Ga_i_Geo_I_1,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
N_i_Geo_I_1,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Ga_i_Geo_I_2,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
N_i_Geo_I_2,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
Ga_i_Geo_I_3,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
N_i_Geo_I_3,mp-804,Wurtzite,,,,,,,,,,,,,,,,,False,,,,,,
