configuration_id,number_of_nodes,number_of_edges,mean_degree,minimum_edge_distance_A,mean_edge_distance_A,maximum_edge_distance_A,node_feature_dimension,edge_feature_dimension,global_feature_dimension
Pristine,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
V_Ga,71,280,3.943661971830986,1.9490379,1.9509424,1.9566494,16,17,28
V_N,71,280,3.943661971830986,1.9490379,1.9509422,1.9566494,16,17,28
Ga_N,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
N_Ga,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
Mg_Ga,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
Si_Ga,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
O_N,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
C_N,72,288,4.0,1.9490379,1.9509424,1.9566494,16,17,28
Ga_i_Geo_I_1,73,312,4.273972602739726,1.9490379,1.9753759,2.4942813,16,17,28
N_i_Geo_I_1,73,312,4.273972602739726,1.9490379,1.9753759,2.4942813,16,17,28
Ga_i_Geo_I_2,73,312,4.273972602739726,1.9472809,1.9762436,2.6088645,16,17,28
N_i_Geo_I_2,73,312,4.273972602739726,1.9472809,1.9762436,2.6088645,16,17,28
Ga_i_Geo_I_3,73,312,4.273972602739726,1.9341818,1.9756619,2.599101,16,17,28
N_i_Geo_I_3,73,312,4.273972602739726,1.9341818,1.9756619,2.599101,16,17,28
