configuration_id,Pristine,V_Ga,V_N,Ga_N,N_Ga,Mg_Ga,Si_Ga,O_N,C_N,Ga_i_Geo_I_1,N_i_Geo_I_1,Ga_i_Geo_I_2,N_i_Geo_I_2,Ga_i_Geo_I_3,N_i_Geo_I_3
Pristine,0.0,14.536364288692354,14.460491720631575,14.914459220929617,14.909523738231641,20.05691541710729,16.466880988897742,17.201483460129,17.344612439679334,14.75332607282128,14.673560185857843,14.038917163966826,13.955068378683304,13.416216290115376,13.328450692415887
V_Ga,14.536364288692354,0.0,7.62097843248254,11.022886053720077,5.594779960693117,15.157557492688504,9.59926540685338,12.89721772910429,13.195098029397332,12.225339766361497,10.831765058946873,11.536214968901927,10.047510024775264,11.812053922827541,10.363050697793005
V_N,14.460491720631575,7.62097843248254,0.0,5.800760682149289,10.6987023467479,16.49874743981909,12.114173322413945,11.294897451455912,11.378678252297819,11.064487880512583,12.048470584965713,9.872962891898668,10.96440366110179,10.34011909836018,11.386870261272282
Ga_N,14.914459220929617,11.022886053720077,5.800760682149289,0.0,11.821624914036551,17.17872982467951,13.181629387938006,11.812178439006582,11.786239146619165,10.163575421718573,12.45836909540109,8.851597006176917,11.413302095539366,9.369815166972343,11.81973482898445
N_Ga,14.909523738231641,5.594779960693117,10.6987023467479,11.821624914036551,0.0,15.354302213997432,9.510216733798034,13.500771965061531,13.900896576462983,12.536227016149828,10.027450786225288,11.86517219454408,9.174698505995021,12.13353506910705,9.51921502766777
Mg_Ga,20.05691541710729,15.157557492688504,16.49874743981909,17.17872982467951,15.354302213997432,0.0,15.086578781213715,16.93808596574507,18.83046652139907,17.841192598324717,17.36110247371277,17.376233099732918,16.882926360927264,17.560576266265368,17.07259689020863
Si_Ga,16.466880988897742,9.59926540685338,12.114173322413945,13.181629387938006,9.510216733798034,15.086578781213715,0.0,14.17179682921354,14.643761510748734,13.870670757692631,12.793894674300002,13.267284223760589,12.137094559358886,13.507819688651283,12.399573638229972
O_N,17.201483460129,12.89721772910429,11.294897451455912,11.812178439006583,13.500771965061531,16.93808596574507,14.17179682921354,0.0,14.284671546272655,14.314929907304453,14.45330241188215,13.415279440169623,13.562833583588521,13.76271736109198,13.906585544970463
C_N,17.344612439679334,13.195098029397332,11.378678252297819,11.786239146619165,13.900896576462983,18.83046652139907,14.643761510748734,14.284671546272655,0.0,14.39559669686206,14.728193647439209,13.501322470984247,13.855403001113569,13.846601574717493,14.1920702868444
Ga_i_Geo_I_1,14.75332607282128,12.225339766361495,11.064487880512583,10.163575421718573,12.536227016149828,17.84119259832472,13.870670757692633,14.314929907304453,14.39559669686206,0.0,5.1798746297381,4.863036968090849,7.104944034460984,5.687830733842126,7.693017589778639
N_i_Geo_I_1,14.673560185857843,10.831765058946871,12.048470584965713,12.45836909540109,10.027450786225288,17.36110247371277,12.793894674300002,14.45330241188215,14.728193647439209,5.1798746297381,0.0,7.104944034460985,4.863036968090851,7.6930175897786395,5.687830733842129
Ga_i_Geo_I_2,14.038917163966826,11.536214968901927,9.87296289189867,8.851597006176917,11.86517219454408,17.376233099732918,13.267284223760589,13.415279440169623,13.501322470984247,4.863036968090849,7.104944034460985,0.0,5.179874629738104,2.8829929442573206,5.92813204107685
N_i_Geo_I_2,13.955068378683304,10.047510024775264,10.96440366110179,11.413302095539366,9.17469850599502,16.882926360927264,12.137094559358886,13.562833583588521,13.855403001113569,7.104944034460984,4.863036968090851,5.179874629738104,0.0,5.92813204107685,2.8829929442573214
Ga_i_Geo_I_3,13.416216290115376,11.812053922827541,10.34011909836018,9.369815166972343,12.13353506910705,17.560576266265368,13.507819688651283,13.762717361091978,13.846601574717493,5.687830733842126,7.6930175897786395,2.8829929442573206,5.92813204107685,0.0,5.179874629738103
N_i_Geo_I_3,13.328450692415887,10.363050697793003,11.386870261272282,11.81973482898445,9.51921502766777,17.07259689020863,12.399573638229972,13.906585544970463,14.1920702868444,7.693017589778639,5.687830733842129,5.92813204107685,2.8829929442573214,5.179874629738103,0.0
