feature,baseline_prediction,masked_prediction,absolute_output_change
nearest_neighbor_distance_A,0.15600550174713135,0.11017246544361115,0.0458330363035202
normalized_delta_electron_affinity_eV,0.15600550174713135,0.11629952490329742,0.03970597684383392
mean_4_nearest_distance_A,0.15600550174713135,0.11787644028663635,0.038129061460494995
mean_electronegativity,0.15600550174713135,0.13327625393867493,0.02272924780845642
is_interstitial,0.15600550174713135,0.14322414994239807,0.012781351804733276
density_g_cm3,0.15600550174713135,0.16821324825286865,0.012207746505737305
normalized_delta_atomic_number,0.15600550174713135,0.1646348237991333,0.008629322052001953
combined_chemical_perturbation,0.15600550174713135,0.1482107788324356,0.00779472291469574
space_group_number,0.15600550174713135,0.1629580408334732,0.006952539086341858
delta_atomic_radius_A,0.15600550174713135,0.1491786539554596,0.006826847791671753
is_antisite,0.15600550174713135,0.1514643132686615,0.004541188478469849
delta_electronegativity,0.15600550174713135,0.15157534182071686,0.00443015992641449
is_vacancy,0.15600550174713135,0.16013678908348083,0.004131287336349487
total_atoms_composition,0.15600550174713135,0.15198388695716858,0.0040216147899627686
Ga_among_4_nearest,0.15600550174713135,0.1599239706993103,0.003918468952178955
fraction_Si,0.15600550174713135,0.15213461220264435,0.0038708895444869995
std_atomic_number,0.15600550174713135,0.15946511924266815,0.003459617495536804
fraction_Ga,0.15600550174713135,0.15945833921432495,0.0034528374671936035
fraction_N,0.15600550174713135,0.15931423008441925,0.003308728337287903
delta_electron_affinity_eV,0.15600550174713135,0.15405084192752838,0.0019546598196029663
std_electronegativity,0.15600550174713135,0.15412305295467377,0.0018824487924575806
fraction_Mg,0.15600550174713135,0.15778663754463196,0.0017811357975006104
is_pristine,0.15600550174713135,0.15764330327510834,0.0016378015279769897
fraction_O,0.15600550174713135,0.15442585945129395,0.0015796422958374023
std_atomic_radius_A,0.15600550174713135,0.15691891312599182,0.0009134113788604736
is_substitutional,0.15600550174713135,0.15525901317596436,0.0007464885711669922
fraction_C,0.15600550174713135,0.15568828582763672,0.0003172159194946289
chemical_operation_replacement,0.15600550174713135,0.15587176382541656,0.00013373792171478271
