configuration_id,nearest_analogue,descriptor_distance
Pristine,N_i_Geo_I_3,13.328450692415887
V_Ga,N_Ga,5.594779960693117
V_N,Ga_N,5.800760682149289
Ga_N,V_N,5.800760682149289
N_Ga,V_Ga,5.594779960693117
Mg_Ga,Si_Ga,15.086578781213715
Si_Ga,N_Ga,9.510216733798034
O_N,V_N,11.294897451455912
C_N,V_N,11.378678252297819
Ga_i_Geo_I_1,Ga_i_Geo_I_2,4.863036968090849
N_i_Geo_I_1,N_i_Geo_I_2,4.863036968090851
Ga_i_Geo_I_2,Ga_i_Geo_I_3,2.8829929442573206
N_i_Geo_I_2,N_i_Geo_I_3,2.8829929442573214
Ga_i_Geo_I_3,Ga_i_Geo_I_2,2.8829929442573206
N_i_Geo_I_3,N_i_Geo_I_2,2.8829929442573214
